3774457	2074243	7
3051933	492865	5
2301273	4224004	6
876165	1034941	9
2243480	4025914	6
2923834	3307762	6
3536943	4956129	8
485290	796560	5
2501361	5042232	8
1182489	2837278	7
1708021	383978	5
2904799	1313394	6
3651902	1352091	6
2548012	3883866	5
2601624	1265352	6
4327661	833565	4
2924523	3378718	7
4580522	4907043	8
2495442	4059291	6
4376567	2562371	7
4545067	393881	6
3534929	1944714	7
3255175	1950481	6
2668960	194576	7
2879283	3387508	8
1665249	873229	5
2742725	3841876	6
2598558	4604937	6
4407799	3263581	9
754843	2539777	9
2660944	3167419	8
467278	1636466	6
774309	2061847	5
2243896	3765146	6
4829779	4891109	6
3908721	398038	5
2174382	2288407	5
3229630	1750595	7
1378444	2794029	7
2295360	4453878	9
568576	3928118	8
4094841	3735883	7
1151605	3948670	7
2150035	1753510	6
3856235	2681372	7
2334932	682566	6
4099026	2592763	7
211283	4764094	6
3736444	3481151	8
3632407	2008556	6
1343739	3918572	9
3774835	1434153	7
3237794	3150700	8
1486994	494106	7
1058319	243557	6
3632469	105494	6
3144692	4916842	7
72476	3536855	8
3079174	473756	7
195174	3189042	7
3487688	1662763	7
4546416	26544	5
3505206	1996274	6
3951602	1230684	5
3074786	1340011	6
2605678	69421	6
3875822	4345820	6
172436	1232853	6
4054076	1503122	6
3482762	849734	7
2599459	943029	6
2090581	3548494	9
978829	385595	6
2981385	2531016	9
1981318	3165882	8
1046079	1973032	7
3248008	2196981	5
4111491	4375841	6
1605992	92623	5
3920161	3193567	6
3492657	1996261	6
2470069	1938157	7
2954457	2468654	5
757708	4456402	7
2638907	2033549	6
4773755	2117670	5
735135	1781185	4
2645343	493773	7
3498334	1088039	6
3673748	2217554	7
1015595	3212296	8
3502717	1236716	7
198811	3597464	8
2884102	1704726	6
2476777	4446282	7
3650377	733802	6
3194380	3565699	6
2971396	2966007	7
3281779	1705151	5
